,DomainLength,IsDomainIP,NoOfSubDomain,HasObfuscation,ObfuscationRatio,CharContinuationRate,TLDLegitimateProb,URLCharProb,HasPasswordField,IsHTTPS,HasExternalFormSubmit,DomainTitleMatchScore,HasPopup,NoOfiFrame,Bank,Pay,Crypto,URLTitleMatchScore,Nivel3_Alta,Nivel2_Media,Nivel1_Baja,IsPhishing
0,19,0,1,0,0.0,1.0,0.5229071,0.064599296,1,1,1,100.0,0,0,1,1,1,100.0,1,0,0,1
1,18,0,1,0,0.0,1.0,0.5229071,0.070239275,0,1,1,100.0,0,2,1,0,0,100.0,1,0,0,1
2,20,0,2,0,0.0,0.538461538,0.0141483,0.055437841,0,1,1,0.0,0,0,0,0,0,0.0,1,0,1,1
3,26,0,3,0,0.0,0.684210526,0.0100856,0.056433177,0,1,1,0.0,0,5,0,1,1,0.0,1,1,1,1
4,13,1,2,0,0.0,0.444444444,0.0,0.001223339,0,0,0,0.0,0,0,0,0,0,0.0,1,0,1,1
5,13,0,1,0,0.0,1.0,0.5229071,0.054583442,1,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
6,25,0,2,0,0.0,0.5,0.0180132,0.056989683,1,0,0,0.0,0,0,0,0,0,0.0,1,0,1,1
7,19,0,1,0,0.0,1.0,0.0141483,0.064760075,0,1,1,100.0,1,0,0,1,0,100.0,1,0,1,1
8,12,0,1,0,0.0,1.0,0.0014653,0.053423702,0,1,1,100.0,0,0,0,0,0,100.0,1,0,1,1
9,18,0,2,0,0.0,0.818181818,0.028555,0.055642237,1,1,1,0.0,0,1,0,1,0,0.0,1,0,1,1
10,17,0,2,0,0.0,0.7,0.0019933,0.06228813,0,1,1,0.0,0,1,0,1,0,0.0,1,0,1,1
11,26,0,1,0,0.0,1.0,0.5229071,0.062210873,0,1,1,100.0,0,2,0,0,0,100.0,1,1,0,1
12,22,0,1,0,0.0,1.0,0.0799628,0.056548007,0,1,1,100.0,0,3,0,0,0,100.0,1,0,1,1
13,23,0,3,0,0.0,0.6875,0.0045585,0.050323538,0,1,1,0.0,1,0,0,1,0,0.0,1,0,1,1
14,11,0,1,0,0.0,1.0,0.0326503,0.039319492,0,1,1,75.0,0,0,0,0,0,75.0,1,0,1,1
15,21,0,1,0,0.0,1.0,0.0799628,0.057650134,0,1,1,100.0,0,8,0,0,0,100.0,1,0,1,1
16,17,0,1,0,0.0,1.0,0.5229071,0.049616455,1,1,1,100.0,0,1,0,1,0,100.0,1,0,0,1
17,25,0,1,0,0.0,1.0,0.5229071,0.066187731,0,1,1,100.0,1,2,1,0,0,100.0,1,0,1,1
18,13,1,2,0,0.0,0.4,0.0,0.042737399,0,1,0,0.0,0,0,0,0,0,0.617283951,1,0,1,1
19,20,0,1,0,0.0,1.0,0.0326503,0.059291061,0,1,1,100.0,1,2,1,1,1,100.0,1,0,1,1
20,23,0,1,0,0.0,1.0,0.5229071,0.059040025,0,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
21,20,0,1,0,0.0,1.0,0.0799628,0.066565003,0,1,1,100.0,0,1,0,0,0,100.0,1,0,1,1
22,31,0,1,0,0.0,1.0,0.0056158,0.052407273,0,1,1,95.83333333,0,2,0,0,0,95.83333333,1,1,1,1
23,24,0,1,0,0.0,1.0,0.0075051,0.055078636,0,1,1,100.0,0,30,0,0,0,100.0,1,0,1,1
24,14,0,1,0,0.0,1.0,0.0799628,0.069097022,0,1,1,100.0,1,2,0,0,0,100.0,1,0,1,1
25,21,0,1,0,0.0,1.0,0.5229071,0.06641247,1,1,1,100.0,0,7,1,1,0,100.0,1,0,0,1
26,14,0,1,0,0.0,1.0,0.5229071,0.06629593,0,1,1,100.0,0,3,1,0,0,100.0,1,0,0,1
27,18,0,1,0,0.0,1.0,0.5229071,0.063788366,0,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
28,22,0,1,0,0.0,1.0,0.0384199,0.056504751,0,1,1,100.0,1,0,0,1,0,100.0,1,0,1,1
29,22,0,1,0,0.0,1.0,0.0799628,0.055461369,0,1,1,100.0,0,3,0,0,0,100.0,1,0,1,1
30,20,0,1,0,0.0,1.0,0.5229071,0.068154644,1,1,1,100.0,0,0,0,0,0,100.0,1,0,0,1
31,18,0,1,0,0.0,0.6,0.5229071,0.062310171,0,1,1,100.0,1,4,0,0,0,100.0,1,0,1,1
32,22,0,1,0,0.0,1.0,0.5229071,0.05735688,1,1,1,100.0,0,2,0,1,0,100.0,1,0,0,1
33,18,0,1,0,0.0,1.0,0.0384199,0.057255009,1,1,1,100.0,0,0,0,1,0,100.0,1,0,1,1
34,27,0,1,0,0.0,1.0,0.5229071,0.051479307,1,1,1,100.0,1,27,0,1,0,100.0,1,1,1,1
35,13,0,1,0,0.0,1.0,0.0004547,0.046006766,0,1,1,100.0,0,0,1,0,0,100.0,1,0,1,1
36,17,0,1,0,0.0,1.0,0.5229071,0.065038847,1,1,1,100.0,1,4,0,1,0,100.0,1,0,1,1
37,19,0,1,0,0.0,1.0,0.0082003,0.051183292,0,1,1,0.0,0,1,0,0,0,0.0,1,0,1,1
38,20,0,1,0,0.0,1.0,0.5229071,0.062936694,0,1,1,100.0,1,2,0,0,0,100.0,1,0,1,1
39,16,0,1,0,0.0,1.0,0.5229071,0.059025607,0,1,1,100.0,0,3,0,1,1,100.0,1,0,0,1
40,26,0,1,0,0.0,1.0,0.0799628,0.059441389,0,1,0,100.0,0,2,1,1,0,100.0,0,1,1,1
41,26,0,1,0,0.0,1.0,0.5229071,0.063946492,0,1,0,55.55555556,0,5,0,1,0,55.55555556,0,1,0,1
42,26,0,3,0,0.0,0.631578947,0.0230451,0.054905556,0,1,0,0.0,0,0,1,0,0,0.0,0,1,1,1
43,29,0,1,0,0.0,1.0,9.54e-05,0.056798719,0,1,0,100.0,0,2,0,1,0,100.0,0,1,1,1
44,29,0,1,0,0.0,0.48,0.5229071,0.059401289,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
45,26,0,2,0,0.0,0.526315789,0.0326503,0.0452655,0,0,0,5.263157895,0,0,0,0,0,5.263157895,0,1,1,1
46,32,0,1,0,0.0,0.607142857,0.5229071,0.035013849,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1
47,26,0,1,0,0.0,0.590909091,0.5229071,0.047810565,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
48,33,0,1,0,0.0,0.482758621,0.001502,0.05160881,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
49,26,0,1,0,0.0,0.826086957,0.0129268,0.04598469,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
50,28,0,2,0,0.0,0.857142857,0.0094423,0.057284654,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
51,27,0,1,0,0.0,1.0,0.0101825,0.069115313,0,1,0,0.0,1,2,0,1,0,0.0,0,1,1,1
52,27,0,1,0,0.0,1.0,0.5229071,0.061070397,0,1,0,100.0,0,3,0,0,0,100.0,0,1,0,1
53,28,0,1,0,0.0,0.541666667,0.5229071,0.056885502,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
54,45,0,3,0,0.0,0.297297297,0.5229071,0.05639785,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1
55,47,0,2,0,0.0,0.227272727,0.0059772,0.036352669,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
56,27,0,1,0,0.0,1.0,0.5229071,0.063779783,0,1,0,100.0,0,2,1,0,0,100.0,0,1,0,1
57,33,0,1,0,0.0,1.0,0.5229071,0.065534568,0,1,0,0.0,0,3,0,0,0,0.0,0,1,1,1
58,46,0,2,0,0.0,0.214285714,0.0009613,0.056210107,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
59,34,0,1,0,0.0,0.566666667,0.5229071,0.04904495,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
60,37,0,1,0,0.0,0.909090909,0.001502,0.024818844,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
61,26,0,3,0,0.0,0.684210526,0.0100856,0.056433177,0,1,1,0.0,0,5,0,1,1,0.0,1,1,1,1
62,39,0,2,0,0.0,0.666666667,0.0059772,0.065147399,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
63,27,0,1,0,0.0,1.0,0.5229071,0.071742472,0,1,0,100.0,1,0,0,1,0,100.0,0,1,1,1
64,27,0,1,0,0.0,0.565217391,0.5229071,0.052693704,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
65,39,0,5,0,0.0,0.35483871,0.5229071,0.04952595,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
66,41,0,1,0,0.0,0.235294118,0.0003477,0.026887608,0,0,0,100.0,0,0,0,0,0,100.0,0,1,1,1
67,39,0,3,0,0.0,0.35483871,0.5229071,0.056327796,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1
68,27,0,1,0,0.0,1.0,0.5229071,0.060245422,0,1,0,100.0,0,2,0,0,0,100.0,0,1,0,1
69,39,0,1,0,0.0,1.0,0.0799628,0.066483893,0,1,0,100.0,0,0,0,0,0,100.0,0,1,1,1
70,26,0,1,0,0.0,0.590909091,0.5229071,0.048629496,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
71,28,0,1,0,0.0,1.0,0.5229071,0.063511868,0,1,0,100.0,0,2,0,0,0,100.0,0,1,0,1
72,28,0,1,0,0.0,0.5,0.5229071,0.065068594,1,1,0,0.0,0,12,0,0,0,0.0,0,1,1,1
73,28,0,1,0,0.0,0.28,0.0036375,0.051346268,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1
74,34,0,1,0,0.0,0.6,0.5229071,0.059985542,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
75,31,0,1,0,0.0,0.863636364,0.0002548,0.050371716,0,0,0,4.545454545,0,0,0,0,0,4.545454545,0,1,1,1
76,41,0,1,0,0.0,0.264705882,0.0003477,0.020334595,0,0,0,100.0,0,0,0,0,0,100.0,0,1,1,1
77,26,0,0,0,0.0,0.590909091,0.0384199,0.045335591,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
78,31,0,1,0,0.0,1.0,0.5229071,0.059879769,1,1,0,100.0,0,20,1,1,0,100.0,0,1,0,1
79,32,0,1,0,0.0,1.0,0.5229071,0.059137082,1,1,0,100.0,1,0,0,1,0,100.0,0,1,1,1
80,24,0,1,0,0.0,1.0,0.5229071,0.061933179,0,1,0,0.0,0,1,1,0,0,0.0,0,0,1,1
81,16,0,1,0,0.0,0.666666667,0.0326503,0.050207214,0,1,0,55.55555556,0,0,0,0,0,55.55555556,0,0,1,1
82,22,0,2,0,0.0,0.866666667,0.028555,0.06412872,0,1,0,46.66666667,0,0,0,0,0,46.66666667,0,0,1,1
83,19,0,1,0,0.0,1.0,0.5229071,0.057605756,0,1,0,0.0,1,12,0,1,1,0.0,0,0,1,1
84,26,0,1,0,0.0,1.0,0.0799628,0.059441389,0,1,0,100.0,0,2,1,1,0,100.0,0,1,1,1
85,23,0,1,0,0.0,1.0,0.0799628,0.060614474,0,1,0,0.0,1,1,0,0,0,0.0,0,0,1,1
86,18,0,1,0,0.0,1.0,0.5229071,0.063549404,0,1,0,0.0,1,4,0,0,0,0.0,0,0,1,1
87,22,0,1,0,0.0,1.0,0.0050842,0.056980442,1,1,0,100.0,0,0,0,0,0,100.0,0,0,1,1
88,11,0,1,0,0.0,1.0,0.0799628,0.070497453,0,1,0,0.0,0,2,0,0,0,0.0,0,0,1,1
89,16,0,1,0,0.0,1.0,0.5229071,0.06741797,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
90,20,0,1,0,0.0,1.0,0.0799628,0.064491134,1,1,0,50.0,1,1,1,0,0,50.0,0,0,1,1
91,13,0,1,0,0.0,1.0,0.5229071,0.055131169,0,1,0,0.0,0,5,0,0,0,0.0,0,0,1,1
92,17,0,1,0,0.0,1.0,0.5229071,0.053754992,0,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1
93,13,0,1,0,0.0,1.0,0.0015878,0.061203697,0,1,0,100.0,0,0,0,0,0,100.0,0,0,1,1
94,14,0,1,0,0.0,1.0,0.0022172,0.042916591,0,1,0,100.0,0,2,1,0,0,100.0,0,0,1,1
95,14,0,1,0,0.0,1.0,0.5229071,0.054492147,1,1,0,0.0,0,21,1,1,0,0.0,0,0,1,1
96,15,0,2,0,0.0,0.625,0.0050842,0.060958413,0,1,0,80.0,0,0,1,1,0,80.0,0,0,1,1
97,20,0,2,0,0.0,0.923076923,0.0180132,0.015061052,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
98,17,0,1,0,0.0,1.0,5.3e-05,0.042982074,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
99,21,0,1,0,0.0,1.0,0.5229071,0.066744309,0,1,0,0.0,0,2,1,1,1,0.0,0,0,1,1
100,22,0,1,0,0.0,1.0,0.0064109,0.068406052,0,1,0,100.0,0,2,0,0,0,100.0,0,0,1,1
101,26,0,3,0,0.0,0.631578947,0.0230451,0.054905556,0,1,0,0.0,0,0,1,0,0,0.0,0,1,1,1
102,29,0,1,0,0.0,1.0,9.54e-05,0.056798719,0,1,0,100.0,0,2,0,1,0,100.0,0,1,1,1
103,29,0,1,0,0.0,0.48,0.5229071,0.059401289,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
104,26,0,2,0,0.0,0.526315789,0.0326503,0.0452655,0,0,0,5.263157895,0,0,0,0,0,5.263157895,0,1,1,1
105,18,0,1,0,0.0,0.571428571,0.001502,0.032795326,0,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1
106,7,0,0,0,0.0,1.0,0.0129268,0.041482802,1,1,0,0.0,0,0,0,0,0,2.53164557,0,0,1,1
107,32,0,1,0,0.0,0.607142857,0.5229071,0.035013849,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1
108,17,0,1,0,0.0,1.0,0.5229071,0.062644799,1,1,0,0.0,1,0,0,0,0,0.0,0,0,1,1
109,26,0,1,0,0.0,0.590909091,0.5229071,0.047810565,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
110,16,0,2,0,0.0,0.777777778,0.028555,0.065006937,1,1,0,0.0,0,20,1,1,0,0.0,0,0,1,1
111,25,0,1,0,0.0,1.0,0.5229071,0.068597251,1,1,0,0.0,0,19,1,1,0,0.0,0,0,1,1
112,13,0,1,0,0.0,1.0,0.5229071,0.064809075,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
113,12,0,1,0,0.0,1.0,0.0129268,0.05131194,0,1,0,100.0,0,1,0,0,0,100.0,0,0,1,1
114,21,0,2,0,0.0,0.583333333,0.0006227,0.039958523,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,1
115,24,0,1,0,0.0,0.6,0.001502,0.050001333,0,1,0,0.0,0,0,0,0,0,0.0,0,0,1,1
116,17,0,1,0,0.0,1.0,0.5229071,0.058978238,0,1,0,100.0,1,3,0,1,0,100.0,0,0,1,1
117,22,0,1,0,0.0,1.0,0.0141483,0.061103084,1,1,0,100.0,0,0,0,0,0,100.0,0,0,1,1
118,33,0,1,0,0.0,0.482758621,0.001502,0.05160881,0,1,0,0.0,0,0,0,0,0,0.0,0,1,1,1
119,23,0,0,0,0.0,1.0,0.5229071,0.037272312,0,1,0,0.0,0,0,0,0,0,100.0,0,0,1,1
120,18,0,1,0,0.0,1.0,0.5229071,0.0604856,0,1,0,100.0,0,1,0,0,0,100.0,0,0,0,0
121,19,0,1,0,0.0,1.0,0.5229071,0.055714659,0,1,0,100.0,0,2,0,1,0,100.0,0,0,0,0
122,18,0,1,0,0.0,1.0,0.5229071,0.062164929,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
123,14,0,1,0,0.0,1.0,0.5229071,0.063377153,0,1,0,100.0,0,1,1,1,0,100.0,0,0,0,0
124,21,0,1,0,0.0,1.0,0.5229071,0.061914384,0,0,0,100.0,0,0,0,0,0,100.0,0,0,0,0
125,20,0,1,0,0.0,1.0,0.5229071,0.06627117,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
126,17,0,1,0,0.0,1.0,0.5229071,0.062492995,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
127,17,0,1,0,0.0,1.0,0.5229071,0.074052865,1,1,0,100.0,0,23,1,1,0,100.0,0,0,0,0
128,23,0,0,0,0.0,1.0,0.5229071,0.062301654,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
129,18,0,1,0,0.0,1.0,0.5229071,0.065133791,0,0,0,100.0,0,0,0,0,0,100.0,0,0,0,0
130,17,0,1,0,0.0,1.0,0.5229071,0.071746922,0,1,0,77.77777778,0,2,0,0,0,77.77777778,0,0,0,0
131,15,0,1,0,0.0,1.0,0.5229071,0.065891816,0,1,0,100.0,0,2,1,0,0,100.0,0,0,0,0
132,21,0,1,0,0.0,1.0,0.5229071,0.064890904,0,1,0,100.0,0,2,1,0,0,100.0,0,0,0,0
133,16,0,1,0,0.0,1.0,0.5229071,0.050478879,0,1,0,100.0,0,2,0,0,0,100.0,0,0,0,0
134,19,0,1,0,0.0,1.0,0.5229071,0.058311271,1,1,0,100.0,0,0,1,1,1,100.0,0,0,0,0
135,19,0,1,0,0.0,1.0,0.5229071,0.069816862,0,1,0,100.0,0,2,0,0,0,100.0,0,0,0,0
136,12,0,1,0,0.0,1.0,0.5229071,0.062819271,1,1,0,100.0,0,22,1,1,0,100.0,0,0,0,0
137,24,0,1,0,0.0,1.0,0.5229071,0.063778944,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
138,17,0,1,0,0.0,1.0,0.5229071,0.062169499,0,1,0,100.0,0,5,0,0,0,100.0,0,0,0,0
139,21,0,1,0,0.0,1.0,0.5229071,0.067312522,1,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
140,11,0,1,0,0.0,1.0,0.5229071,0.064067302,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
141,23,0,1,0,0.0,1.0,0.5229071,0.058409715,0,1,0,100.0,0,2,1,0,1,100.0,0,0,0,0
142,13,0,1,0,0.0,1.0,0.5229071,0.059480699,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
143,19,0,1,0,0.0,1.0,0.5229071,0.063101078,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
144,19,0,1,0,0.0,1.0,0.5229071,0.066779325,1,1,0,100.0,0,19,1,1,0,100.0,0,0,0,0
145,23,0,1,0,0.0,1.0,0.5229071,0.061643425,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
146,17,0,1,0,0.0,1.0,0.5229071,0.061359744,0,1,0,100.0,0,19,1,1,0,100.0,0,0,0,0
147,23,0,1,0,0.0,1.0,0.5229071,0.064862982,0,0,0,86.66666667,0,0,0,0,0,86.66666667,0,0,0,0
148,15,0,1,0,0.0,1.0,0.5229071,0.076037047,0,1,0,71.42857143,0,3,0,1,0,71.42857143,0,0,0,0
149,14,0,1,0,0.0,1.0,0.5229071,0.058382725,0,1,0,100.0,0,4,0,1,0,100.0,0,0,0,0
150,20,0,1,0,0.0,1.0,0.5229071,0.055469139,0,1,0,100.0,0,2,0,1,0,100.0,0,0,0,0
151,19,0,1,0,0.0,1.0,0.5229071,0.06233847,1,1,0,100.0,0,19,1,1,0,100.0,0,0,0,0
152,18,0,1,0,0.0,1.0,0.5229071,0.074663503,1,1,0,100.0,0,0,1,1,0,100.0,0,0,0,0
153,24,0,1,0,0.0,0.4375,0.5229071,0.053092883,0,1,0,100.0,0,3,0,1,0,100.0,0,0,0,0
154,22,0,1,0,0.0,1.0,0.5229071,0.069572626,0,1,0,100.0,0,0,0,0,0,100.0,0,0,0,0
155,23,0,1,0,0.0,1.0,0.5229071,0.064075127,0,1,0,100.0,0,2,1,1,0,100.0,0,0,0,0
156,20,0,1,0,0.0,1.0,0.5229071,0.066898846,0,1,0,100.0,0,1,1,0,0,100.0,0,0,0,0
157,16,0,1,0,0.0,1.0,0.5229071,0.058543573,0,1,0,100.0,0,3,1,0,0,100.0,0,0,0,0
158,20,0,1,0,0.0,1.0,0.5229071,0.058644706,0,1,0,100.0,0,0,1,0,0,100.0,0,0,0,0
159,20,0,1,0,0.0,1.0,0.5229071,0.06352436,0,1,0,100.0,0,2,0,0,0,100.0,0,0,0,0
